name,E,nu,G,rho,sigma_lim,sigma_rot,sigma_cort,type_material
Aluminum_7075_T6,71700000000,0.33,26950000000,2.81E-9,450000000,505000000,305000000,metal
Aluminum_2024_T3,73100000000,0.33,27490000000,2.78E-9,324000000,415000000,270000000,metal
