Node 117,<0.000000, 0.000000, 2.399734>
Node 183,<0.000000, 0.000000, 4.758081>
Node 264,<0.000000, 0.000000, 4.810259>
Node 344,<0.000000, 0.000000, 4.986018>
Node 422,<0.000000, 0.000000, 5.139808>
Node 499,<0.000000, 0.000000, 5.273207>
Node 575,<0.000000, 0.000000, 5.387808>
Node 649,<0.000000, 0.000000, 5.485131>
Node 722,<0.000000, 0.000000, 5.566580>
Node 794,<0.000000, 0.000000, 5.633439>
Node 864,<0.000000, 0.000000, 5.686862>
Node 932,<0.000000, 0.000000, 5.727883>
Node 999,<0.000000, 0.000000, 5.757429>
Node 1065,<0.000000, 0.000000, 5.776321>
Node 1129,<0.000000, 0.000000, 5.785295>
Node 1192,<0.000000, 0.000000, 5.785001>
Node 1254,<0.000000, 0.000000, 5.776020>
Node 1314,<0.000000, 0.000000, 5.758865>
Node 1373,<0.000000, 0.000000, 5.733993>
Node 1431,<0.000000, 0.000000, 5.701808>
Node 1487,<0.000000, 0.000000, 5.662666>
Node 1542,<0.000000, 0.000000, 5.616883>
Node 1596,<0.000000, 0.000000, 5.564732>
Node 1648,<0.000000, 0.000000, 5.506452>
Node 1699,<0.000000, 0.000000, 5.442249>
Node 1749,<0.000000, 0.000000, 5.372297>
Node 1797,<0.000000, 0.000000, 5.296741>
Node 1844,<0.000000, 0.000000, 5.215695>
Node 1890,<0.000000, 0.000000, 5.129249>
Node 1934,<0.000000, 0.000000, 5.037461>
Node 1976,<0.000000, 0.000000, 4.940363>
Node 2017,<0.000000, 0.000000, 4.837956>
Node 2057,<0.000000, 0.000000, 4.730211>
Node 2095,<0.000000, 0.000000, 4.617065>
Node 2132,<0.000000, 0.000000, 4.498417>
Node 2168,<0.000000, 0.000000, 4.374122>
Node 2202,<0.000000, 0.000000, 4.243988>
Node 2235,<0.000000, 0.000000, 4.107761>
Node 2267,<0.000000, 0.000000, 3.965114>
Node 2297,<0.000000, 0.000000, 3.815630>
Node 2326,<0.000000, 0.000000, 3.658771>
Node 2354,<0.000000, 0.000000, 3.493843>
Node 2380,<0.000000, 0.000000, 3.319933>
Node 2405,<0.000000, 0.000000, 1.615301>
Node 118,<0.000000, 0.000000, 6.341654>
Node 184,<0.000000, 0.000000, 12.752518>
Node 265,<0.000000, 0.000000, 12.634369>
Node 345,<0.000000, 0.000000, 12.269627>
Node 423,<0.000000, 0.000000, 11.924060>
Node 500,<0.000000, 0.000000, 11.596073>
Node 576,<0.000000, 0.000000, 11.284055>
Node 650,<0.000000, 0.000000, 10.986462>
Node 723,<0.000000, 0.000000, 10.701862>
Node 795,<0.000000, 0.000000, 10.428944>
Node 865,<0.000000, 0.000000, 10.166519>
Node 933,<0.000000, 0.000000, 9.913512>
Node 1000,<0.000000, 0.000000, 9.668956>
Node 1066,<0.000000, 0.000000, 9.431980>
Node 1130,<0.000000, 0.000000, 9.201799>
Node 1193,<0.000000, 0.000000, 8.977702>
Node 1255,<0.000000, 0.000000, 8.759045>
Node 1315,<0.000000, 0.000000, 8.545245>
Node 1374,<0.000000, 0.000000, 8.335768>
Node 1432,<0.000000, 0.000000, 8.130125>
Node 1488,<0.000000, 0.000000, 7.927867>
Node 1543,<0.000000, 0.000000, 7.728577>
Node 1597,<0.000000, 0.000000, 7.531868>
Node 1649,<0.000000, 0.000000, 7.337379>
Node 1700,<0.000000, 0.000000, 7.144766>
Node 1750,<0.000000, 0.000000, 6.953706>
Node 1798,<0.000000, 0.000000, 6.763887>
Node 1845,<0.000000, 0.000000, 6.575009>
Node 1891,<0.000000, 0.000000, 6.386776>
Node 1935,<0.000000, 0.000000, 6.198898>
Node 1977,<0.000000, 0.000000, 6.011086>
Node 2018,<0.000000, 0.000000, 5.823044>
Node 2058,<0.000000, 0.000000, 5.634472>
Node 2096,<0.000000, 0.000000, 5.445054>
Node 2133,<0.000000, 0.000000, 5.254456>
Node 2169,<0.000000, 0.000000, 5.062322>
Node 2203,<0.000000, 0.000000, 4.868258>
Node 2236,<0.000000, 0.000000, 4.671826>
Node 2268,<0.000000, 0.000000, 4.472529>
Node 2298,<0.000000, 0.000000, 4.269790>
Node 2327,<0.000000, 0.000000, 4.062923>
Node 2355,<0.000000, 0.000000, 3.851092>
Node 2381,<0.000000, 0.000000, 3.633252>
Node 2406,<0.000000, 0.000000, 1.761342>
