Node 72,<0.000000, 0.000000, 0.145493>
Node 117,<0.000000, 0.000000, 0.801603>
Node 183,<0.000000, 0.000000, 2.709367>
Node 264,<0.000000, 0.000000, 4.000520>
Node 344,<0.000000, 0.000000, 3.792251>
Node 422,<0.000000, 0.000000, 3.591349>
Node 499,<0.000000, 0.000000, 3.397680>
Node 575,<0.000000, 0.000000, 3.211112>
Node 649,<0.000000, 0.000000, 3.031512>
Node 722,<0.000000, 0.000000, 2.858747>
Node 794,<0.000000, 0.000000, 2.692684>
Node 864,<0.000000, 0.000000, 2.533191>
Node 932,<0.000000, 0.000000, 2.380135>
Node 999,<0.000000, 0.000000, 2.233382>
Node 1065,<0.000000, 0.000000, 2.092801>
Node 1129,<0.000000, 0.000000, 1.958258>
Node 1192,<0.000000, 0.000000, 1.829621>
Node 1254,<0.000000, 0.000000, 1.706756>
Node 1314,<0.000000, 0.000000, 1.589531>
Node 1373,<0.000000, 0.000000, 1.477813>
Node 1431,<0.000000, 0.000000, 1.371470>
Node 1487,<0.000000, 0.000000, 1.270368>
Node 1542,<0.000000, 0.000000, 1.174374>
Node 1596,<0.000000, 0.000000, 1.083356>
Node 1648,<0.000000, 0.000000, 0.997182>
Node 1699,<0.000000, 0.000000, 0.915717>
Node 1749,<0.000000, 0.000000, 0.838829>
Node 1797,<0.000000, 0.000000, 0.766386>
Node 1844,<0.000000, 0.000000, 0.698255>
Node 1890,<0.000000, 0.000000, 0.634302>
Node 1934,<0.000000, 0.000000, 0.574395>
Node 1976,<0.000000, 0.000000, 0.518401>
Node 2017,<0.000000, 0.000000, 0.466187>
Node 2057,<0.000000, 0.000000, 0.417621>
Node 2095,<0.000000, 0.000000, 0.372568>
Node 2132,<0.000000, 0.000000, 0.330897>
Node 2168,<0.000000, 0.000000, 0.292474>
Node 2202,<0.000000, 0.000000, 0.257166>
Node 2235,<0.000000, 0.000000, 0.224841>
Node 2267,<0.000000, 0.000000, 0.195366>
Node 2297,<0.000000, 0.000000, 0.168606>
Node 2326,<0.000000, 0.000000, 0.144430>
Node 2354,<0.000000, 0.000000, 0.122704>
Node 2380,<0.000000, 0.000000, 0.103294>
Node 2405,<0.000000, 0.000000, 0.086068>
Node 2429,<0.000000, 0.000000, 0.038992>
Node 73,<0.000000, 0.000000, 0.337704>
Node 118,<0.000000, 0.000000, 1.670993>
Node 184,<0.000000, 0.000000, 4.463815>
Node 265,<0.000000, 0.000000, 6.099995>
Node 345,<0.000000, 0.000000, 5.783502>
Node 423,<0.000000, 0.000000, 5.478142>
Node 500,<0.000000, 0.000000, 5.183716>
Node 576,<0.000000, 0.000000, 4.900025>
Node 650,<0.000000, 0.000000, 4.626868>
Node 723,<0.000000, 0.000000, 4.364048>
Node 795,<0.000000, 0.000000, 4.111365>
Node 865,<0.000000, 0.000000, 3.868620>
Node 933,<0.000000, 0.000000, 3.635613>
Node 1000,<0.000000, 0.000000, 3.412146>
Node 1066,<0.000000, 0.000000, 3.198019>
Node 1130,<0.000000, 0.000000, 2.993033>
Node 1193,<0.000000, 0.000000, 2.796989>
Node 1255,<0.000000, 0.000000, 2.609688>
Node 1315,<0.000000, 0.000000, 2.430930>
Node 1374,<0.000000, 0.000000, 2.260517>
Node 1432,<0.000000, 0.000000, 2.098249>
Node 1488,<0.000000, 0.000000, 1.943927>
Node 1543,<0.000000, 0.000000, 1.797351>
Node 1597,<0.000000, 0.000000, 1.658324>
Node 1649,<0.000000, 0.000000, 1.526645>
Node 1700,<0.000000, 0.000000, 1.402116>
Node 1750,<0.000000, 0.000000, 1.284537>
Node 1798,<0.000000, 0.000000, 1.173709>
Node 1845,<0.000000, 0.000000, 1.069433>
Node 1891,<0.000000, 0.000000, 0.971510>
Node 1935,<0.000000, 0.000000, 0.879740>
Node 1977,<0.000000, 0.000000, 0.793925>
Node 2018,<0.000000, 0.000000, 0.713866>
Node 2058,<0.000000, 0.000000, 0.639363>
Node 2096,<0.000000, 0.000000, 0.570218>
Node 2133,<0.000000, 0.000000, 0.506231>
Node 2169,<0.000000, 0.000000, 0.447203>
Node 2203,<0.000000, 0.000000, 0.392936>
Node 2236,<0.000000, 0.000000, 0.343230>
Node 2268,<0.000000, 0.000000, 0.297886>
Node 2298,<0.000000, 0.000000, 0.256705>
Node 2327,<0.000000, 0.000000, 0.219489>
Node 2355,<0.000000, 0.000000, 0.186039>
Node 2381,<0.000000, 0.000000, 0.156156>
Node 2406,<0.000000, 0.000000, 0.129641>
Node 2430,<0.000000, 0.000000, 0.058600>
