local_id,x,y,z,rib_index,stringer_index,tag,h,global_id
2195,3.77945129708088,2.72497119867622,0.01,1,37,stringer,extrados,89
2208,3.83641654417574,2.57545544491287,0.01,1,38,stringer,extrados,90
2218,3.89338179127061,2.42593969114953,0.01,1,39,stringer,extrados,91
2225,3.95034703836548,2.27642393738619,0.01,1,40,stringer,extrados,92
2,2.98,5.80633347184964,0.01,2,-2,rear spars,extrados,93
2,4.28892880105054,2.3708094235523,0.01,2,-1,front spars,extrados,94
1419,3.02417731363569,5.69038199819976,0.01,2,18,stringer,extrados,95
1485,3.08114256073056,5.54086624443641,0.01,2,19,stringer,extrados,96
1548,3.13810780782543,5.39135049067307,0.01,2,20,stringer,extrados,97
1608,3.1950730549203,5.24183473690973,0.01,2,21,stringer,extrados,98
1665,3.25203830201516,5.09231898314638,0.01,2,22,stringer,extrados,99
1720,3.30900354911003,4.94280322938304,0.01,2,23,stringer,extrados,100
1773,3.3659687962049,4.7932874756197,0.01,2,24,stringer,extrados,101
1823,3.42293404329977,4.64377172185635,0.01,2,25,stringer,extrados,102
1870,3.47989929039464,4.49425596809301,0.01,2,26,stringer,extrados,103
1914,3.5368645374895,4.34474021432967,0.01,2,27,stringer,extrados,104
1955,3.59382978458437,4.19522446056633,0.01,2,28,stringer,extrados,105
1993,3.65079503167924,4.04570870680298,0.01,2,29,stringer,extrados,106
2028,3.70776027877411,3.89619295303964,0.01,2,30,stringer,extrados,107
2061,3.76472552586898,3.7466771992763,0.01,2,31,stringer,extrados,108
2091,3.82169077296385,3.59716144551295,0.01,2,32,stringer,extrados,109
2118,3.87865602005871,3.44764569174961,0.01,2,33,stringer,extrados,110
2142,3.93562126715358,3.29812993798627,0.01,2,34,stringer,extrados,111
2163,3.99258651424845,3.14861418422293,0.01,2,35,stringer,extrados,112
2181,4.04955176134332,2.99909843045958,0.01,2,36,stringer,extrados,113
2196,4.10651700843819,2.84958267669624,0.01,2,37,stringer,extrados,114
2209,4.16348225553306,2.7000669229329,0.01,2,38,stringer,extrados,115
2219,4.22044750262792,2.55055116916955,0.01,2,39,stringer,extrados,116
2226,4.27741274972279,2.40103541540621,0.01,2,40,stringer,extrados,117
3,2.98,6.7893889812331,0.01,3,-2,rear spars,extrados,118
3,4.59603383694396,2.54781136048914,0.01,3,-1,front spars,extrados,119
970,3.00945154242379,6.71208799879984,0.01,3,12,stringer,extrados,120
1052,3.06641678951866,6.56257224503649,0.01,3,13,stringer,extrados,121
1131,3.12338203661353,6.41305649127315,0.01,3,14,stringer,extrados,122
1207,3.1803472837084,6.26354073750981,0.01,3,15,stringer,extrados,123
1280,3.23731253080327,6.11402498374647,0.01,3,16,stringer,extrados,124
1351,3.29427777789814,5.96450922998312,0.01,3,17,stringer,extrados,125
1420,3.351243024993,5.81499347621978,0.01,3,18,stringer,extrados,126
1486,3.40820827208787,5.66547772245644,0.01,3,19,stringer,extrados,127
1549,3.46517351918274,5.51596196869309,0.01,3,20,stringer,extrados,128
1609,3.52213876627761,5.36644621492975,0.01,3,21,stringer,extrados,129
1666,3.57910401337248,5.21693046116641,0.01,3,22,stringer,extrados,130
1721,3.63606926046735,5.06741470740306,0.01,3,23,stringer,extrados,131
1774,3.69303450756221,4.91789895363972,0.01,3,24,stringer,extrados,132
1824,3.74999975465708,4.76838319987638,0.01,3,25,stringer,extrados,133
1871,3.80696500175195,4.61886744611304,0.01,3,26,stringer,extrados,134
1915,3.86393024884682,4.46935169234969,0.01,3,27,stringer,extrados,135
1956,3.92089549594169,4.31983593858635,0.01,3,28,stringer,extrados,136
1994,3.97786074303656,4.17032018482301,0.01,3,29,stringer,extrados,137
2029,4.03482599013142,4.02080443105966,0.01,3,30,stringer,extrados,138
2062,4.09179123722629,3.87128867729632,0.01,3,31,stringer,extrados,139
2092,4.14875648432116,3.72177292353298,0.01,3,32,stringer,extrados,140
2119,4.20572173141603,3.57225716976964,0.01,3,33,stringer,extrados,141
2143,4.2626869785109,3.42274141600629,0.01,3,34,stringer,extrados,142
2164,4.31965222560576,3.27322566224295,0.01,3,35,stringer,extrados,143
2182,4.37661747270063,3.12370990847961,0.01,3,36,stringer,extrados,144
2197,4.4335827197955,2.97419415471626,0.01,3,37,stringer,extrados,145
2210,4.49054796689037,2.82467840095292,0.01,3,38,stringer,extrados,146
2220,4.54751321398524,2.67516264718958,0.01,3,39,stringer,extrados,147
4,2.98,7.77244449061655,0.01,4,-2,rear spars,extrados,148
4,4.90313887283737,2.72481329742598,0.01,4,-1,front spars,extrados,149
442,2.9947257712119,7.73379399939992,0.01,4,6,stringer,extrados,150
531,3.05169101830677,7.58427824563658,0.01,4,7,stringer,extrados,151
620,3.10865626540163,7.43476249187323,0.01,4,8,stringer,extrados,152
709,3.1656215124965,7.28524673810989,0.01,4,9,stringer,extrados,153
799,3.22258675959137,7.13573098434655,0.01,4,10,stringer,extrados,154
886,3.27955200668624,6.9862152305832,0.01,4,11,stringer,extrados,155
971,3.33651725378111,6.83669947681986,0.01,4,12,stringer,extrados,156
1053,3.39348250087597,6.68718372305652,0.01,4,13,stringer,extrados,157
1132,3.45044774797084,6.53766796929318,0.01,4,14,stringer,extrados,158
1208,3.50741299506571,6.38815221552983,0.01,4,15,stringer,extrados,159
1281,3.56437824216058,6.23863646176649,0.01,4,16,stringer,extrados,160
1352,3.62134348925545,6.08912070800315,0.01,4,17,stringer,extrados,161
1421,3.67830873635032,5.9396049542398,0.01,4,18,stringer,extrados,162
1487,3.73527398344518,5.79008920047646,0.01,4,19,stringer,extrados,163
1550,3.79223923054005,5.64057344671312,0.01,4,20,stringer,extrados,164
1610,3.84920447763492,5.49105769294977,0.01,4,21,stringer,extrados,165
1667,3.90616972472979,5.34154193918643,0.01,4,22,stringer,extrados,166
1722,3.96313497182466,5.19202618542309,0.01,4,23,stringer,extrados,167
1775,4.02010021891953,5.04251043165975,0.01,4,24,stringer,extrados,168
1825,4.07706546601439,4.8929946778964,0.01,4,25,stringer,extrados,169
1872,4.13403071310926,4.74347892413306,0.01,4,26,stringer,extrados,170
1916,4.19099596020413,4.59396317036972,0.01,4,27,stringer,extrados,171
1957,4.247961207299,4.44444741660637,0.01,4,28,stringer,extrados,172
1995,4.30492645439387,4.29493166284303,0.01,4,29,stringer,extrados,173
2030,4.36189170148874,4.14541590907969,0.01,4,30,stringer,extrados,174
2063,4.4188569485836,3.99590015531635,0.01,4,31,stringer,extrados,175
2093,4.47582219567847,3.846384401553,0.01,4,32,stringer,extrados,176
2120,4.53278744277334,3.69686864778966,0.01,4,33,stringer,extrados,177
2144,4.58975268986821,3.54735289402632,0.01,4,34,stringer,extrados,178
2165,4.64671793696308,3.39783714026297,0.01,4,35,stringer,extrados,179
2183,4.70368318405794,3.24832138649963,0.01,4,36,stringer,extrados,180
2198,4.76064843115281,3.09880563273629,0.01,4,37,stringer,extrados,181
2211,4.81761367824768,2.94928987897294,0.01,4,38,stringer,extrados,182
2221,4.87457892534255,2.7997741252096,0.01,4,39,stringer,extrados,183
5,2.98,8.7555,0.01,5,-2,rear spars,extrados,184
5,5.21024390873079,2.90181523436282,0.01,5,-1,front spars,extrados,185
2,3.03696524709487,8.60598424623666,0.01,5,1,stringer,extrados,186
90,3.09393049418974,8.45646849247332,0.01,5,2,stringer,extrados,187
178,3.15089574128461,8.30695273870997,0.01,5,3,stringer,extrados,188
266,3.20786098837947,8.15743698494663,0.01,5,4,stringer,extrados,189
354,3.26482623547434,8.00792123118329,0.01,5,5,stringer,extrados,190
443,3.32179148256921,7.85840547741994,0.01,5,6,stringer,extrados,191
532,3.37875672966408,7.7088897236566,0.01,5,7,stringer,extrados,192
621,3.43572197675895,7.55937396989326,0.01,5,8,stringer,extrados,193
710,3.49268722385382,7.40985821612991,0.01,5,9,stringer,extrados,194
800,3.54965247094868,7.26034246236657,0.01,5,10,stringer,extrados,195
887,3.60661771804355,7.11082670860323,0.01,5,11,stringer,extrados,196
972,3.66358296513842,6.96131095483989,0.01,5,12,stringer,extrados,197
1054,3.72054821223329,6.81179520107654,0.01,5,13,stringer,extrados,198
1133,3.77751345932816,6.6622794473132,0.01,5,14,stringer,extrados,199
1209,3.83447870642302,6.51276369354986,0.01,5,15,stringer,extrados,200
1282,3.89144395351789,6.36324793978651,0.01,5,16,stringer,extrados,201
1353,3.94840920061276,6.21373218602317,0.01,5,17,stringer,extrados,202
1422,4.00537444770763,6.06421643225983,0.01,5,18,stringer,extrados,203
1488,4.0623396948025,5.91470067849649,0.01,5,19,stringer,extrados,204
1551,4.11930494189737,5.76518492473314,0.01,5,20,stringer,extrados,205
1611,4.17627018899223,5.6156691709698,0.01,5,21,stringer,extrados,206
1668,4.2332354360871,5.46615341720646,0.01,5,22,stringer,extrados,207
1723,4.29020068318197,5.31663766344311,0.01,5,23,stringer,extrados,208
1776,4.34716593027684,5.16712190967977,0.01,5,24,stringer,extrados,209
1826,4.40413117737171,5.01760615591643,0.01,5,25,stringer,extrados,210
1873,4.46109642446658,4.86809040215308,0.01,5,26,stringer,extrados,211
1917,4.51806167156144,4.71857464838974,0.01,5,27,stringer,extrados,212
1958,4.57502691865631,4.5690588946264,0.01,5,28,stringer,extrados,213
1996,4.63199216575118,4.41954314086306,0.01,5,29,stringer,extrados,214
2031,4.68895741284605,4.27002738709971,0.01,5,30,stringer,extrados,215
2064,4.74592265994092,4.12051163333637,0.01,5,31,stringer,extrados,216
2094,4.80288790703579,3.97099587957303,0.01,5,32,stringer,extrados,217
2121,4.85985315413065,3.82148012580968,0.01,5,33,stringer,extrados,218
2145,4.91681840122552,3.67196437204634,0.01,5,34,stringer,extrados,219
2166,4.97378364832039,3.522448618283,0.01,5,35,stringer,extrados,220
2184,5.03074889541526,3.37293286451966,0.01,5,36,stringer,extrados,221
2199,5.08771414251013,3.22341711075631,0.01,5,37,stringer,extrados,222
2212,5.14467938960499,3.07390135699297,0.01,5,38,stringer,extrados,223
2222,5.20164463669986,2.92438560322963,0.01,5,39,stringer,extrados,224
6,3.30706571135731,8.88011147802003,0.01,6,-2,rear spars,extrados,225
6,5.51734894462421,3.07881717129966,0.01,6,-1,front spars,extrados,226
3,3.36403095845218,8.73059572425668,0.01,6,1,stringer,extrados,227
91,3.42099620554705,8.58107997049334,0.01,6,2,stringer,extrados,228
179,3.47796145264192,8.43156421673,0.01,6,3,stringer,extrados,229
267,3.53492669973679,8.28204846296665,0.01,6,4,stringer,extrados,230
355,3.59189194683165,8.13253270920331,0.01,6,5,stringer,extrados,231
444,3.64885719392652,7.98301695543997,0.01,6,6,stringer,extrados,232
533,3.70582244102139,7.83350120167662,0.01,6,7,stringer,extrados,233
622,3.76278768811626,7.68398544791328,0.01,6,8,stringer,extrados,234
711,3.81975293521113,7.53446969414994,0.01,6,9,stringer,extrados,235
801,3.876718182306,7.3849539403866,0.01,6,10,stringer,extrados,236
888,3.93368342940086,7.23543818662325,0.01,6,11,stringer,extrados,237
973,3.99064867649573,7.08592243285991,0.01,6,12,stringer,extrados,238
1055,4.0476139235906,6.93640667909657,0.01,6,13,stringer,extrados,239
1134,4.10457917068547,6.78689092533322,0.01,6,14,stringer,extrados,240
1210,4.16154441778034,6.63737517156988,0.01,6,15,stringer,extrados,241
