Node 74,<0.000000, 0.000000, -1713.082727>
Node 94,<0.000000, 0.000000, -1712.751395>
Node 119,<0.000000, 0.000000, -1712.394222>
Node 149,<0.000000, 0.000000, -1712.011178>
Node 185,<0.000000, 0.000000, -1711.602226>
Node 226,<0.000000, 0.000000, -1711.167330>
Node 266,<0.000000, 0.000000, -1710.706450>
Node 306,<0.000000, 0.000000, -1710.219544>
Node 346,<0.000000, 0.000000, -1709.706567>
Node 385,<0.000000, 0.000000, -1709.167472>
Node 424,<0.000000, 0.000000, -1708.602210>
Node 463,<0.000000, 0.000000, -1708.010728>
Node 501,<0.000000, 0.000000, -1707.392971>
Node 539,<0.000000, 0.000000, -1706.748883>
Node 576,<0.000000, 0.000000, -1706.078404>
Node 613,<0.000000, 0.000000, -1705.381470>
Node 650,<0.000000, 0.000000, -1704.658016>
Node 686,<0.000000, 0.000000, -1703.907975>
Node 722,<0.000000, 0.000000, -1703.131275>
Node 758,<0.000000, 0.000000, -1702.327844>
Node 793,<0.000000, 0.000000, -1701.497604>
Node 828,<0.000000, 0.000000, -1700.640477>
Node 863,<0.000000, 0.000000, -1699.756380>
Node 897,<0.000000, 0.000000, -1698.845229>
Node 931,<0.000000, 0.000000, -1697.906935>
Node 965,<0.000000, 0.000000, -1696.941408>
Node 998,<0.000000, 0.000000, -1695.948553>
Node 1031,<0.000000, 0.000000, -1694.928273>
Node 1064,<0.000000, 0.000000, -1693.880468>
Node 1096,<0.000000, 0.000000, -1692.805034>
Node 1128,<0.000000, 0.000000, -1691.701865>
Node 1160,<0.000000, 0.000000, -1690.570849>
Node 1191,<0.000000, 0.000000, -1689.411875>
Node 1222,<0.000000, 0.000000, -1688.224824>
Node 1252,<0.000000, 0.000000, -1687.009575>
Node 1282,<0.000000, 0.000000, -1685.766006>
Node 1312,<0.000000, 0.000000, -1684.493988>
Node 1341,<0.000000, 0.000000, -1683.193390>
Node 1370,<0.000000, 0.000000, -1681.864076>
Node 1399,<0.000000, 0.000000, -1680.505907>
Node 1427,<0.000000, 0.000000, -1679.118740>
Node 1455,<0.000000, 0.000000, -1677.702428>
Node 1483,<0.000000, 0.000000, -1676.256820>
Node 1510,<0.000000, 0.000000, -1674.781761>
Node 1537,<0.000000, 0.000000, -1673.277089>
Node 1564,<0.000000, 0.000000, -1671.742642>
Node 1590,<0.000000, 0.000000, -1670.178251>
Node 1616,<0.000000, 0.000000, -1668.583742>
Node 1642,<0.000000, 0.000000, -1666.958938>
Node 1667,<0.000000, 0.000000, -1665.303655>
Node 1692,<0.000000, 0.000000, -1663.617706>
Node 1717,<0.000000, 0.000000, -1661.900898>
Node 1741,<0.000000, 0.000000, -1660.153033>
Node 1765,<0.000000, 0.000000, -1658.373908>
Node 1788,<0.000000, 0.000000, -1656.563314>
Node 1811,<0.000000, 0.000000, -1654.721036>
Node 1834,<0.000000, 0.000000, -1652.846854>
Node 1856,<0.000000, 0.000000, -1650.940542>
Node 1878,<0.000000, 0.000000, -1649.001869>
Node 1900,<0.000000, 0.000000, -1647.030595>
Node 1921,<0.000000, 0.000000, -1645.026475>
Node 1942,<0.000000, 0.000000, -1642.989259>
Node 1963,<0.000000, 0.000000, -1640.918689>
Node 1983,<0.000000, 0.000000, -1638.814498>
Node 2003,<0.000000, 0.000000, -1636.676415>
Node 2023,<0.000000, 0.000000, -1634.504159>
Node 2042,<0.000000, 0.000000, -1632.297444>
Node 2061,<0.000000, 0.000000, -1630.055974>
Node 2080,<0.000000, 0.000000, -1627.779446>
Node 2098,<0.000000, 0.000000, -1625.467548>
Node 2116,<0.000000, 0.000000, -1623.119959>
Node 2134,<0.000000, 0.000000, -1620.736350>
Node 2151,<0.000000, 0.000000, -1618.316382>
Node 2168,<0.000000, 0.000000, -1615.859708>
Node 2184,<0.000000, 0.000000, -1613.365970>
Node 2200,<0.000000, 0.000000, -1610.834799>
Node 2216,<0.000000, 0.000000, -1608.265816>
Node 2231,<0.000000, 0.000000, -1605.658633>
Node 2246,<0.000000, 0.000000, -1603.012849>
Node 2261,<0.000000, 0.000000, -1600.328051>
Node 2275,<0.000000, 0.000000, -1597.603814>
Node 2289,<0.000000, 0.000000, -1594.839701>
Node 2303,<0.000000, 0.000000, -1592.035262>
Node 2316,<0.000000, 0.000000, -1589.190034>
Node 2329,<0.000000, 0.000000, -1586.303538>
Node 2342,<0.000000, 0.000000, -1583.375283>
Node 2354,<0.000000, 0.000000, -1580.404761>
Node 2366,<0.000000, 0.000000, -1577.391448>
Node 2378,<0.000000, 0.000000, -1574.334805>
Node 2389,<0.000000, 0.000000, -1571.234275>
Node 2400,<0.000000, 0.000000, -1568.089284>
Node 2442,<0.000000, 0.000000, -1713.388250>
Node 2460,<0.000000, 0.000000, -1713.984298>
Node 2912,<0.000000, 0.000000, -1713.082727>
Node 2932,<0.000000, 0.000000, -1712.751395>
Node 2957,<0.000000, 0.000000, -1712.394222>
Node 2987,<0.000000, 0.000000, -1712.011178>
Node 3023,<0.000000, 0.000000, -1711.602226>
Node 3064,<0.000000, 0.000000, -1711.167330>
Node 3104,<0.000000, 0.000000, -1710.706450>
Node 3144,<0.000000, 0.000000, -1710.219544>
Node 3184,<0.000000, 0.000000, -1709.706567>
Node 3223,<0.000000, 0.000000, -1709.167472>
Node 3262,<0.000000, 0.000000, -1708.602210>
Node 3301,<0.000000, 0.000000, -1708.010728>
Node 3339,<0.000000, 0.000000, -1707.392971>
Node 3377,<0.000000, 0.000000, -1706.748883>
Node 3414,<0.000000, 0.000000, -1706.078404>
Node 3451,<0.000000, 0.000000, -1705.381470>
Node 3488,<0.000000, 0.000000, -1704.658016>
Node 3524,<0.000000, 0.000000, -1703.907975>
Node 3560,<0.000000, 0.000000, -1703.131275>
Node 3596,<0.000000, 0.000000, -1702.327844>
Node 3631,<0.000000, 0.000000, -1701.497604>
Node 3666,<0.000000, 0.000000, -1700.640477>
Node 3701,<0.000000, 0.000000, -1699.756380>
Node 3735,<0.000000, 0.000000, -1698.845229>
Node 3769,<0.000000, 0.000000, -1697.906935>
Node 3803,<0.000000, 0.000000, -1696.941408>
Node 3836,<0.000000, 0.000000, -1695.948553>
Node 3869,<0.000000, 0.000000, -1694.928273>
Node 3902,<0.000000, 0.000000, -1693.880468>
Node 3934,<0.000000, 0.000000, -1692.805034>
Node 3966,<0.000000, 0.000000, -1691.701865>
Node 3998,<0.000000, 0.000000, -1690.570849>
Node 4029,<0.000000, 0.000000, -1689.411875>
Node 4060,<0.000000, 0.000000, -1688.224824>
Node 4090,<0.000000, 0.000000, -1687.009575>
Node 4120,<0.000000, 0.000000, -1685.766006>
Node 4150,<0.000000, 0.000000, -1684.493988>
Node 4179,<0.000000, 0.000000, -1683.193390>
Node 4208,<0.000000, 0.000000, -1681.864076>
Node 4237,<0.000000, 0.000000, -1680.505907>
Node 4265,<0.000000, 0.000000, -1679.118740>
Node 4293,<0.000000, 0.000000, -1677.702428>
Node 4321,<0.000000, 0.000000, -1676.256820>
Node 4348,<0.000000, 0.000000, -1674.781761>
Node 4375,<0.000000, 0.000000, -1673.277089>
Node 4402,<0.000000, 0.000000, -1671.742642>
Node 4428,<0.000000, 0.000000, -1670.178251>
Node 4454,<0.000000, 0.000000, -1668.583742>
Node 4480,<0.000000, 0.000000, -1666.958938>
Node 4505,<0.000000, 0.000000, -1665.303655>
Node 4530,<0.000000, 0.000000, -1663.617706>
Node 4555,<0.000000, 0.000000, -1661.900898>
Node 4579,<0.000000, 0.000000, -1660.153033>
Node 4603,<0.000000, 0.000000, -1658.373908>
Node 4626,<0.000000, 0.000000, -1656.563314>
Node 4649,<0.000000, 0.000000, -1654.721036>
Node 4672,<0.000000, 0.000000, -1652.846854>
Node 4694,<0.000000, 0.000000, -1650.940542>
Node 4716,<0.000000, 0.000000, -1649.001869>
Node 4738,<0.000000, 0.000000, -1647.030595>
Node 4759,<0.000000, 0.000000, -1645.026475>
Node 4780,<0.000000, 0.000000, -1642.989259>
Node 4801,<0.000000, 0.000000, -1640.918689>
Node 4821,<0.000000, 0.000000, -1638.814498>
Node 4841,<0.000000, 0.000000, -1636.676415>
Node 4861,<0.000000, 0.000000, -1634.504159>
Node 4880,<0.000000, 0.000000, -1632.297444>
Node 4899,<0.000000, 0.000000, -1630.055974>
Node 4918,<0.000000, 0.000000, -1627.779446>
Node 4936,<0.000000, 0.000000, -1625.467548>
Node 4954,<0.000000, 0.000000, -1623.119959>
Node 4972,<0.000000, 0.000000, -1620.736350>
Node 4989,<0.000000, 0.000000, -1618.316382>
Node 5006,<0.000000, 0.000000, -1615.859708>
Node 5022,<0.000000, 0.000000, -1613.365970>
Node 5038,<0.000000, 0.000000, -1610.834799>
Node 5054,<0.000000, 0.000000, -1608.265816>
Node 5069,<0.000000, 0.000000, -1605.658633>
Node 5084,<0.000000, 0.000000, -1603.012849>
Node 5099,<0.000000, 0.000000, -1600.328051>
Node 5113,<0.000000, 0.000000, -1597.603814>
Node 5127,<0.000000, 0.000000, -1594.839701>
Node 5141,<0.000000, 0.000000, -1592.035262>
Node 5154,<0.000000, 0.000000, -1589.190034>
Node 5167,<0.000000, 0.000000, -1586.303538>
Node 5180,<0.000000, 0.000000, -1583.375283>
Node 5192,<0.000000, 0.000000, -1580.404761>
Node 5204,<0.000000, 0.000000, -1577.391448>
Node 5216,<0.000000, 0.000000, -1574.334805>
Node 5227,<0.000000, 0.000000, -1571.234275>
Node 5238,<0.000000, 0.000000, -1568.089284>
Node 5280,<0.000000, 0.000000, -1713.388250>
Node 5298,<0.000000, 0.000000, -1713.984298>
Node 184,<0.000000, 0.000000, -1799.175389>
Node 225,<0.000000, 0.000000, -1798.176658>
Node 265,<0.000000, 0.000000, -1797.162655>
Node 305,<0.000000, 0.000000, -1796.133329>
Node 345,<0.000000, 0.000000, -1795.088626>
Node 384,<0.000000, 0.000000, -1794.028490>
Node 423,<0.000000, 0.000000, -1792.952866>
Node 462,<0.000000, 0.000000, -1791.861696>
Node 500,<0.000000, 0.000000, -1790.754922>
Node 538,<0.000000, 0.000000, -1789.632485>
Node 575,<0.000000, 0.000000, -1788.494324>
Node 612,<0.000000, 0.000000, -1787.340379>
Node 649,<0.000000, 0.000000, -1786.170585>
Node 685,<0.000000, 0.000000, -1784.984878>
Node 721,<0.000000, 0.000000, -1783.783195>
Node 757,<0.000000, 0.000000, -1782.565467>
Node 792,<0.000000, 0.000000, -1781.331627>
Node 827,<0.000000, 0.000000, -1780.081607>
Node 862,<0.000000, 0.000000, -1778.815335>
Node 896,<0.000000, 0.000000, -1777.532741>
Node 930,<0.000000, 0.000000, -1776.233750>
Node 964,<0.000000, 0.000000, -1774.918289>
Node 997,<0.000000, 0.000000, -1773.586282>
Node 1030,<0.000000, 0.000000, -1772.237651>
