Node 50,<0.000000, 0.000000, -1660.281737>
Node 52,<0.000000, 0.000000, -1656.313235>
Node 64,<0.000000, 0.000000, -1651.368198>
Node 96,<0.000000, 0.000000, -1650.979633>
Node 127,<0.000000, 0.000000, -1650.586053>
Node 158,<0.000000, 0.000000, -1650.187450>
Node 189,<0.000000, 0.000000, -1649.783817>
Node 220,<0.000000, 0.000000, -1649.375147>
Node 250,<0.000000, 0.000000, -1648.961432>
Node 280,<0.000000, 0.000000, -1648.542664>
Node 310,<0.000000, 0.000000, -1648.118835>
Node 340,<0.000000, 0.000000, -1647.689938>
Node 370,<0.000000, 0.000000, -1647.255965>
Node 399,<0.000000, 0.000000, -1646.816907>
Node 428,<0.000000, 0.000000, -1646.372757>
Node 457,<0.000000, 0.000000, -1645.923505>
Node 486,<0.000000, 0.000000, -1645.469144>
Node 515,<0.000000, 0.000000, -1645.009665>
Node 543,<0.000000, 0.000000, -1644.545059>
Node 571,<0.000000, 0.000000, -1644.075317>
Node 599,<0.000000, 0.000000, -1643.600431>
Node 627,<0.000000, 0.000000, -1643.120390>
Node 654,<0.000000, 0.000000, -1642.635188>
Node 681,<0.000000, 0.000000, -1642.144813>
Node 708,<0.000000, 0.000000, -1641.649256>
Node 735,<0.000000, 0.000000, -1641.148509>
Node 762,<0.000000, 0.000000, -1640.642560>
Node 788,<0.000000, 0.000000, -1640.131402>
Node 814,<0.000000, 0.000000, -1639.615023>
Node 840,<0.000000, 0.000000, -1639.093413>
Node 866,<0.000000, 0.000000, -1638.566563>
Node 892,<0.000000, 0.000000, -1638.034462>
Node 917,<0.000000, 0.000000, -1637.497099>
Node 942,<0.000000, 0.000000, -1636.954465>
Node 967,<0.000000, 0.000000, -1636.406548>
Node 992,<0.000000, 0.000000, -1635.853338>
Node 1016,<0.000000, 0.000000, -1635.294823>
Node 1040,<0.000000, 0.000000, -1634.730993>
Node 1064,<0.000000, 0.000000, -1634.161837>
Node 1088,<0.000000, 0.000000, -1633.587342>
Node 1112,<0.000000, 0.000000, -1633.007498>
Node 1135,<0.000000, 0.000000, -1632.422292>
Node 1158,<0.000000, 0.000000, -1631.831714>
Node 1181,<0.000000, 0.000000, -1631.235751>
Node 1204,<0.000000, 0.000000, -1630.634391>
Node 1227,<0.000000, 0.000000, -1630.027621>
Node 1249,<0.000000, 0.000000, -1629.415430>
Node 1271,<0.000000, 0.000000, -1628.797805>
Node 1293,<0.000000, 0.000000, -1628.174734>
Node 1315,<0.000000, 0.000000, -1627.546202>
Node 1337,<0.000000, 0.000000, -1626.912198>
Node 1358,<0.000000, 0.000000, -1626.272709>
Node 1379,<0.000000, 0.000000, -1625.627720>
Node 1400,<0.000000, 0.000000, -1624.977220>
Node 1421,<0.000000, 0.000000, -1624.321193>
Node 1441,<0.000000, 0.000000, -1623.659626>
Node 1461,<0.000000, 0.000000, -1622.992506>
Node 1481,<0.000000, 0.000000, -1622.319818>
Node 1501,<0.000000, 0.000000, -1621.641548>
Node 1521,<0.000000, 0.000000, -1620.957682>
Node 1540,<0.000000, 0.000000, -1620.268204>
Node 1559,<0.000000, 0.000000, -1619.573101>
Node 1578,<0.000000, 0.000000, -1618.872357>
Node 1597,<0.000000, 0.000000, -1618.165957>
Node 1616,<0.000000, 0.000000, -1617.453886>
Node 1634,<0.000000, 0.000000, -1616.736129>
Node 1652,<0.000000, 0.000000, -1616.012669>
Node 1670,<0.000000, 0.000000, -1615.283492>
Node 1688,<0.000000, 0.000000, -1614.548580>
Node 1705,<0.000000, 0.000000, -1613.807918>
Node 1722,<0.000000, 0.000000, -1613.061489>
Node 1739,<0.000000, 0.000000, -1612.309277>
Node 1756,<0.000000, 0.000000, -1611.551266>
Node 1773,<0.000000, 0.000000, -1610.787437>
Node 1789,<0.000000, 0.000000, -1610.017774>
Node 1805,<0.000000, 0.000000, -1609.242259>
Node 1821,<0.000000, 0.000000, -1608.460876>
Node 1837,<0.000000, 0.000000, -1607.673606>
Node 1853,<0.000000, 0.000000, -1606.880431>
Node 1868,<0.000000, 0.000000, -1606.081333>
Node 1883,<0.000000, 0.000000, -1605.276293>
Node 1898,<0.000000, 0.000000, -1604.465294>
Node 1913,<0.000000, 0.000000, -1603.648316>
Node 1946,<0.000000, 0.000000, -1666.149877>
Node 2348,<0.000000, 0.000000, -1660.281737>
Node 2350,<0.000000, 0.000000, -1656.313235>
