x,y,z
31.6357177516464,18.1323048323686,0.01
30.7592787611228,17.6271636565544,0.01
29.8828397705992,17.1220224807403,0.01
29.0064007800756,16.6168813049261,0.01
28.129961789552,16.111740129112,0.01
27.2535227990283,15.6065989532978,0.01
26.3770838085047,15.1014577774836,0.01
25.5006448179811,14.5963166016695,0.01
24.6242058274575,14.0911754258553,0.01
23.7477668369339,13.5860342500412,0.01
22.8713278464103,13.080893074227,0.01
21.9948888558866,12.5757518984129,0.01
21.118449865363,12.0706107225987,0.01
20.2420108748394,11.5654695467845,0.01
19.3655718843158,11.0603283709704,0.01
18.4891328937922,10.5551871951562,0.01
17.6126939032685,10.0500460193421,0.01
16.7362549127449,9.54490484352792,0.01
15.8598159222213,9.03976366771376,0.01
14.9833769316977,8.53462249189961,0.01
14.1069379411741,8.02948131608545,0.01
13.2304989506505,7.5243401402713,0.01
12.3540599601268,7.01919896445714,0.01
11.4776209696032,6.51405778864298,0.01
10.6011819790796,6.00891661282883,0.01
9.72474298855598,5.50377543701467,0.01
8.84830399803236,4.99863426120052,0.01
7.97186500750874,4.49349308538636,0.01
7.09542601698513,3.98835190957221,0.01
6.2189870264615,3.48321073375805,0.01
5.34254803593789,2.97806955794389,0.01
4.46610904541427,2.47292838212974,0.01
2.98,8.58428058428197,0.01
2.98,8.41306116856395,0.01
2.98,8.24184175284592,0.01
2.98,8.07062233712789,0.01
2.98,7.89940292140987,0.01
2.98,7.72818350569184,0.01
2.98,7.55696408997381,0.01
2.98,7.38574467425578,0.01
2.98,7.21452525853776,0.01
2.98,7.04330584281973,0.01
2.98,6.8720864271017,0.01
2.98,6.70086701138368,0.01
2.98,6.52964759566565,0.01
2.98,6.35842817994762,0.01
2.98,6.18720876422959,0.01
2.98,6.01598934851157,0.01
2.98,5.84476993279354,0.01
2.98,5.67355051707551,0.01
2.98,5.50233110135749,0.01
2.98,5.33111168563946,0.01
2.98,5.15989226992143,0.01
2.98,4.9886728542034,0.01
2.98,4.81745343848538,0.01
2.98,4.64623402276735,0.01
2.98,4.47501460704932,0.01
2.98,4.3037951913313,0.01
2.98,4.13257577561327,0.01
2.98,3.96135635989524,0.01
2.98,3.79013694417721,0.01
2.98,3.61891752845919,0.01
2.98,3.44769811274116,0.01
2.98,3.27647869702313,0.01
2.98,3.10525928130511,0.01
2.98,2.93403986558708,0.01
2.98,2.76282044986905,0.01
2.98,2.59160103415102,0.01
2.98,2.420381618433,0.01
2.98,2.24916220271497,0.01
2.98,2.07794278699694,0.01
2.98,1.90672337127892,0.01
2.98,4.82327796246619,0.01
3.98182376515712,2.19380748661546,0.01
2.98193783775272,4.81819175136302,0.01
3.03890308484759,4.66867599759967,0.01
3.09586833194246,4.51916024383633,0.01
3.15283357903732,4.36964449007299,0.01
3.20979882613219,4.22012873630964,0.01
3.26676407322706,4.0706129825463,0.01
3.32372932032193,3.92109722878296,0.01
3.3806945674168,3.77158147501962,0.01
3.43765981451167,3.62206572125627,0.01
3.49462506160653,3.47254996749293,0.01
3.5515903087014,3.32303421372959,0.01
3.60855555579627,3.17351845996624,0.01
3.66552080289114,3.0240027062029,0.01
3.72248604998601,2.87448695243956,0.01
3.77945129708088,2.72497119867622,0.01
3.83641654417574,2.57545544491287,0.01
3.89338179127061,2.42593969114953,0.01
3.95034703836548,2.27642393738619,0.01
2.98,5.80633347184964,0.01
4.28892880105054,2.3708094235523,0.01
3.02417731363569,5.69038199819976,0.01
3.08114256073056,5.54086624443641,0.01
3.13810780782543,5.39135049067307,0.01
3.1950730549203,5.24183473690973,0.01
3.25203830201516,5.09231898314638,0.01
3.30900354911003,4.94280322938304,0.01
3.3659687962049,4.7932874756197,0.01
3.42293404329977,4.64377172185635,0.01
3.47989929039464,4.49425596809301,0.01
3.5368645374895,4.34474021432967,0.01
3.59382978458437,4.19522446056633,0.01
3.65079503167924,4.04570870680298,0.01
3.70776027877411,3.89619295303964,0.01
3.76472552586898,3.7466771992763,0.01
3.82169077296385,3.59716144551295,0.01
3.87865602005871,3.44764569174961,0.01
3.93562126715358,3.29812993798627,0.01
3.99258651424845,3.14861418422293,0.01
4.04955176134332,2.99909843045958,0.01
4.10651700843819,2.84958267669624,0.01
4.16348225553306,2.7000669229329,0.01
4.22044750262792,2.55055116916955,0.01
4.27741274972279,2.40103541540621,0.01
2.98,6.7893889812331,0.01
4.59603383694396,2.54781136048914,0.01
3.00945154242379,6.71208799879984,0.01
3.06641678951866,6.56257224503649,0.01
3.12338203661353,6.41305649127315,0.01
3.1803472837084,6.26354073750981,0.01
3.23731253080327,6.11402498374647,0.01
3.29427777789814,5.96450922998312,0.01
3.351243024993,5.81499347621978,0.01
3.40820827208787,5.66547772245644,0.01
3.46517351918274,5.51596196869309,0.01
3.52213876627761,5.36644621492975,0.01
3.57910401337248,5.21693046116641,0.01
3.63606926046735,5.06741470740306,0.01
3.69303450756221,4.91789895363972,0.01
3.74999975465708,4.76838319987638,0.01
3.80696500175195,4.61886744611304,0.01
