1,-1,1
2,5,1
3,6,1
4,7,1
5,8,1
6,9,1
7,10,1
8,11,1
9,12,1
10,13,1
11,14,1
12,15,1
13,16,1
14,17,1
15,18,1
16,19,1
17,20,1
18,21,1
19,22,1
20,23,1
21,24,1
22,25,1
23,26,1
24,27,1
25,28,1
26,29,1
27,30,1
28,31,1
29,32,1
30,33,1
31,34,1
32,35,1
33,36,1
34,37,1
35,38,1
36,39,1
37,40,1
38,41,1
39,42,1
40,43,1
41,44,1
42,45,1
43,46,1
44,47,1
45,48,1
46,49,1
47,50,1
48,51,1
49,52,1
50,53,1
51,54,1
52,55,1
53,56,1
54,57,1
55,58,1
56,59,1
57,60,1
58,61,1
59,62,1
60,63,1
61,64,1
62,65,1
63,66,1
64,67,1
65,68,1
66,69,1
67,70,1
68,71,1
69,72,1
70,73,1
71,74,1
72,75,1
73,76,1
74,77,1
75,78,1
76,79,1
77,80,1
78,81,1
79,82,1
80,83,1
81,84,1
82,85,1
83,86,1
84,87,1
85,88,1
86,89,1
87,90,1
88,91,1
89,-1,2
90,5,2
91,6,2
92,7,2
93,8,2
94,9,2
95,10,2
96,11,2
97,12,2
98,13,2
99,14,2
100,15,2
101,16,2
102,17,2
103,18,2
104,19,2
105,20,2
106,21,2
107,22,2
108,23,2
109,24,2
110,25,2
111,26,2
112,27,2
113,28,2
114,29,2
115,30,2
116,31,2
117,32,2
118,33,2
119,34,2
120,35,2
121,36,2
122,37,2
123,38,2
124,39,2
125,40,2
126,41,2
127,42,2
128,43,2
129,44,2
130,45,2
131,46,2
132,47,2
133,48,2
134,49,2
135,50,2
136,51,2
137,52,2
138,53,2
139,54,2
140,55,2
141,56,2
142,57,2
143,58,2
144,59,2
145,60,2
146,61,2
147,62,2
148,63,2
149,64,2
150,65,2
151,66,2
152,67,2
153,68,2
154,69,2
155,70,2
156,71,2
157,72,2
158,73,2
159,74,2
160,75,2
161,76,2
162,77,2
163,78,2
164,79,2
165,80,2
166,81,2
167,82,2
168,83,2
169,84,2
170,85,2
171,86,2
172,87,2
173,88,2
174,89,2
175,90,2
176,91,2
177,-1,3
178,5,3
179,6,3
180,7,3
181,8,3
182,9,3
183,10,3
184,11,3
185,12,3
186,13,3
187,14,3
188,15,3
189,16,3
190,17,3
191,18,3
192,19,3
193,20,3
194,21,3
195,22,3
196,23,3
197,24,3
198,25,3
199,26,3
200,27,3
201,28,3
202,29,3
203,30,3
204,31,3
205,32,3
206,33,3
207,34,3
208,35,3
209,36,3
210,37,3
211,38,3
212,39,3
213,40,3
214,41,3
215,42,3
216,43,3
217,44,3
218,45,3
219,46,3
220,47,3
221,48,3
222,49,3
223,50,3
224,51,3
225,52,3
226,53,3
227,54,3
228,55,3
229,56,3
230,57,3
231,58,3
232,59,3
233,60,3
234,61,3
235,62,3
236,63,3
237,64,3
238,65,3
239,66,3
240,67,3
241,68,3
242,69,3
243,70,3
244,71,3
245,72,3
246,73,3
247,74,3
248,75,3
249,76,3
250,77,3
251,78,3
252,79,3
253,80,3
254,81,3
255,82,3
256,83,3
257,84,3
258,85,3
259,86,3
260,87,3
261,88,3
262,89,3
263,90,3
264,91,3
265,-1,4
266,5,4
267,6,4
268,7,4
269,8,4
270,9,4
271,10,4
272,11,4
273,12,4
274,13,4
275,14,4
276,15,4
277,16,4
278,17,4
279,18,4
280,19,4
281,20,4
282,21,4
283,22,4
284,23,4
285,24,4
286,25,4
287,26,4
288,27,4
289,28,4
290,29,4
291,30,4
292,31,4
293,32,4
294,33,4
295,34,4
296,35,4
297,36,4
298,37,4
299,38,4
300,39,4
301,40,4
302,41,4
303,42,4
304,43,4
